roll, pitch,
-0.356831, -1.170278, 
-0.357639, -1.168473, 
-0.356893, -1.169857, 
-0.357456, -1.169634, 
-0.357570, -1.169880, 
-0.354707, -1.172954, 
-0.357009, -1.170672, 
-0.356458, -1.170601, 
-0.356368, -1.171168, 
-0.357679, -1.170321, 
-0.355577, -1.172794, 
-0.356328, -1.171317, 
-0.355905, -1.171146, 
-0.358185, -1.169482, 
-0.357582, -1.170028, 
-0.355882, -1.171811, 
-0.355318, -1.172779, 
-0.356546, -1.170898, 
-0.357461, -1.170250, 
-0.356565, -1.171021, 
-0.354597, -1.173715, 
-0.357169, -1.170252, 
-0.356568, -1.171462, 
-0.355576, -1.172629, 
-0.356224, -1.171711, 
-0.357361, -1.170496, 
-0.358053, -1.170632, 
-0.356285, -1.172909, 
-0.359055, -1.169396, 
-0.354741, -1.173000, 
-0.356505, -1.171388, 
-0.358724, -1.169302, 
-0.356931, -1.170451, 
-0.357679, -1.170737, 
-0.354829, -1.173810, 
-0.354723, -1.173228, 
-0.356262, -1.172276, 
-0.356884, -1.171115, 
-0.355029, -1.173048, 
-0.355550, -1.172625, 
-0.355518, -1.172751, 
-0.355591, -1.172482, 
-0.357668, -1.170395, 
-0.353450, -1.174392, 
-0.355494, -1.173657, 
-0.359003, -1.168981, 
-0.354710, -1.172662, 
-0.357102, -1.170794, 
-0.355719, -1.171097, 
-0.355203, -1.173515, 
-0.355416, -1.172751, 
-0.355736, -1.172675, 
-0.356699, -1.172366, 
-0.356743, -1.171190, 
-0.357489, -1.172198, 
-0.357503, -1.171081, 
-0.356211, -1.172276, 
-0.357532, -1.171178, 
-0.356053, -1.172497, 
-0.355749, -1.173162, 
-0.355226, -1.173659, 
-0.354627, -1.173911, 
-0.355841, -1.171713, 
-0.357001, -1.172335, 
-0.355283, -1.172802, 
-0.355190, -1.173762, 
-0.354856, -1.174394, 
-0.357681, -1.170663, 
-0.355289, -1.174387, 
-0.355190, -1.173761, 
-0.353726, -1.174682, 
-0.356659, -1.172776, 
-0.354666, -1.174328, 
-0.356684, -1.173668, 
-0.353153, -1.176498, 
-0.354710, -1.174691, 
-0.354280, -1.173820, 
-0.353755, -1.175988, 
-0.356968, -1.171726, 
-0.353720, -1.175152, 
-0.354451, -1.174675, 
-0.353661, -1.175523, 
-0.354883, -1.174497, 
-0.355748, -1.173893, 
-0.355967, -1.174150, 
-0.354344, -1.174551, 
-0.354167, -1.175488, 
-0.353958, -1.174776, 
-0.356654, -1.172732, 
-0.355442, -1.173894, 
-0.356294, -1.172974, 
-0.354409, -1.173921, 
-0.355317, -1.174651, 
-0.355765, -1.172773, 
-0.353986, -1.174873, 
-0.355944, -1.173183, 
-0.354851, -1.174380, 
-0.355562, -1.174255, 
-0.354655, -1.174251, 
-0.355292, -1.174409, 
-0.356444, -1.172539, 
-0.354650, -1.174960, 
-0.355700, -1.174157, 
-0.355725, -1.174154, 
-0.355695, -1.173311, 
-0.357312, -1.171814, 
-0.353614, -1.175861, 
-0.355332, -1.174988, 
-0.353307, -1.175626, 
-0.356986, -1.172817, 
-0.354461, -1.175238, 
-0.357252, -1.172472, 
-0.355161, -1.174625, 
-0.356830, -1.172238, 
-0.354114, -1.175874, 
-0.355045, -1.175121, 
-0.354343, -1.175282, 
-0.354084, -1.175196, 
-0.355261, -1.173387, 
-0.354285, -1.175753, 
-0.356058, -1.174076, 
-0.354844, -1.175456, 
-0.355838, -1.173402, 
-0.357982, -1.171801, 
-0.355113, -1.173586, 
-0.355746, -1.173716, 
-0.354606, -1.174354, 
-0.355902, -1.174636, 
-0.355645, -1.173967, 
-0.356587, -1.172635, 
-0.354870, -1.174739, 
-0.353483, -1.176252, 
-0.353572, -1.175490, 
-0.353946, -1.175365, 
-0.355527, -1.174109, 
-0.357081, -1.171891, 
-0.354136, -1.175606, 
-0.355158, -1.176170, 
-0.354869, -1.174392, 
-0.356294, -1.172977, 
-0.355635, -1.173337, 
-0.355766, -1.173355, 
-0.356126, -1.174840, 
-0.353871, -1.176495, 
-0.355628, -1.173699, 
-0.352548, -1.176633, 
-0.355167, -1.174096, 
-0.355375, -1.174289, 
-0.354594, -1.175076, 
-0.355808, -1.175425, 
-0.355586, -1.173926, 
-0.356451, -1.173969, 
-0.354954, -1.175023, 
-0.354435, -1.175370, 
-0.353646, -1.176287, 
-0.353387, -1.177197, 
-0.353973, -1.176081, 
-0.356757, -1.172917, 
-0.354011, -1.175669, 
-0.354819, -1.175970, 
-0.353090, -1.176360, 
-0.355176, -1.174486, 
-0.354927, -1.174860, 
-0.352964, -1.176875, 
-0.354263, -1.175844, 
-0.355414, -1.175685, 
-0.353309, -1.175376, 
-0.355243, -1.175160, 
-0.354979, -1.175671, 
-0.356131, -1.174790, 
-0.353231, -1.177688, 
-0.353219, -1.176595, 
-0.355210, -1.175694, 
-0.354720, -1.175895, 
-0.353619, -1.176703, 
-0.355596, -1.174475, 
-0.355731, -1.174928, 
-0.354798, -1.174764, 
-0.353650, -1.176415, 
-0.355762, -1.174227, 
-0.357137, -1.173884, 
-0.355486, -1.174673, 
-0.354560, -1.176774, 
-0.353553, -1.176303, 
-0.354091, -1.175209, 
-0.356134, -1.174480, 
-0.355129, -1.176147, 
-0.355496, -1.175392, 
-0.354276, -1.176656, 
-0.354478, -1.176078, 
-0.355646, -1.174550, 
-0.356307, -1.174203, 
-0.354143, -1.175377, 
-0.356009, -1.175151, 
-0.355600, -1.175315, 
-0.354225, -1.175950, 
-0.354904, -1.175539, 
-0.357247, -1.173172, 
-0.354010, -1.176258, 
-0.355403, -1.175197, 
-0.353723, -1.177136, 
-0.355190, -1.176057, 
-0.355297, -1.175015, 
-0.354802, -1.175607, 
-0.354781, -1.175737, 
-0.355843, -1.174006, 
-0.352471, -1.178148, 
-0.354176, -1.176696, 
-0.353680, -1.176538, 
-0.355383, -1.174093, 
-0.353037, -1.177433, 
-0.353821, -1.176940, 
-0.354134, -1.175986, 
-0.353305, -1.177892, 
-0.353705, -1.176778, 
-0.355172, -1.175521, 
-0.355791, -1.175232, 
-0.352752, -1.177213, 
-0.353849, -1.177266, 
-0.355811, -1.175850, 
-0.356914, -1.173421, 
-0.354665, -1.175639, 
-0.355767, -1.174997, 
-0.355008, -1.176037, 
-0.354758, -1.176065, 
-0.354853, -1.175781, 
-0.354703, -1.175230, 
-0.354219, -1.176542, 
-0.354803, -1.176749, 
-0.354996, -1.176431, 
-0.355049, -1.174907, 
-0.352050, -1.179117, 
-0.355221, -1.175186, 
-0.353494, -1.176839, 
-0.353199, -1.177841, 
-0.353129, -1.177760, 
-0.354367, -1.177088, 
-0.354788, -1.176424, 
-0.353089, -1.177733, 
-0.357236, -1.174249, 
-0.355551, -1.175410, 
-0.353325, -1.178379, 
-0.353151, -1.177632, 
-0.353996, -1.177709, 
-0.354185, -1.177011, 
-0.353874, -1.177943, 
-0.354283, -1.176708, 
-0.352465, -1.178841, 
-0.352893, -1.178597, 
-0.354629, -1.175799, 
-0.353319, -1.177415, 
-0.354175, -1.176357, 
-0.351712, -1.179215, 
-0.353148, -1.179681, 
-0.353558, -1.177950, 
-0.353999, -1.176695, 
-0.353142, -1.177588, 
-0.353877, -1.177504, 
-0.352335, -1.179023, 
-0.356098, -1.175398, 
-0.354238, -1.177503, 
-0.354335, -1.177143, 
-0.353319, -1.177110, 
-0.353299, -1.178617, 
-0.354723, -1.176330, 
-0.355112, -1.176126, 
-0.342873, -1.186827, 
-0.359754, -1.171675, 
-0.349439, -1.183271, 
-0.352555, -1.178968, 
-0.350741, -1.180622, 
-0.352308, -1.179664, 
-0.353629, -1.178434, 
-0.352172, -1.179462, 
-0.350537, -1.181372, 
-0.351913, -1.180258, 
-0.350967, -1.180687, 
-0.352589, -1.179880, 
-0.350698, -1.182633, 
-0.352796, -1.177711, 
-0.351755, -1.180746, 
-0.350526, -1.181397, 
-0.351525, -1.179487, 
-0.352485, -1.179424, 
-0.350732, -1.181014, 
-0.351783, -1.180070, 
-0.351106, -1.181778, 
-0.349839, -1.182573, 
-0.352552, -1.178608, 
-0.352329, -1.179878, 
-0.350411, -1.181610, 
